iid,name,county.x,street_str_addr1,street_city,street_state,street_zip,street_zip4,attending_district_institutional_id,district,school,x2017_18_total_enrollment,x2018_19_total_enrollment,x2018_19_american_indian_alaska_native,x2018_19_percent_american_indian_alaska_native,x2018_19_asian,x2018_19_percent_asian,x2018_19_native_hawaiian_pacific_islander,x2018_19_percent_native_hawaiian_pacific_islander,x2018_19_black_african_american,x2018_19_percent_black_african_american,x2018_19_hispanic_latino,x2018_19_percent_hispanic_latino,x2018_19_white,x2018_19_percent_white,x2018_19_multiracial,x2018_19_percent_multiracial,address,lon,lat,county.y,district_id,district_name,institution_name,institution_type,student_group_type,student_group,approaches_to_learning_self_regulation_score,approaches_to_learning_interpersonal_skills_score,approaches_to_learning_total_score_score,approaches_to_learning_n,math_avg_number_correct_score,math_n,literacy_uppercase_letter_names_number_correct_score,literacy_uppercase_letter_names_number_correct_n,literacy_lowercase_letter_names_number_correct_score,literacy_lowercase_letter_names_number_correct_n,literacy_letter_sounds_number_correct_score,literacy_letter_sounds_number_correct_n
53,Forest Hills Elementary School,Clackamas,1133 SW Andrews Rd,Lake Oswego,OR,97034,1799,1923,Lake Oswego SD 7J,Forest Hills Elementary School,411,425,1,0.00235,27,0.06353,,0,2,0.00471,15,0.03529,332,0.78118,48,0.11294,1133 SW Andrews Rd Lake Oswego OR 97034,-122.6760481,45.4260086,Clackamas,1923,Lake Oswego SD 7J,Forest Hills Elementary School,School,Total Population,Total Population,4,4.1,4,59,13.4,60,20.7,60,17,60,11.4,60
54,Hallinan Elementary School,Clackamas,16800 Hawthorne Dr,Lake Oswego,OR,97034,6349,1923,Lake Oswego SD 7J,Hallinan Elementary School,475,456,,0,29,0.0636,1,0.00219,,0,39,0.08553,347,0.76096,40,0.08772,16800 Hawthorne Dr Lake Oswego OR 97034,-122.6645215,45.404447,Clackamas,1923,Lake Oswego SD 7J,Hallinan Elementary School,School,Total Population,Total Population,3.2,3.7,3.3,68,12.8,68,20.9,68,17.4,68,12.2,68
55,Lake Grove Elementary School,Clackamas,15777 SW Boones Ferry Rd,Lake Oswego,OR,97035,4098,1923,Lake Oswego SD 7J,Lake Grove Elementary School,405,391,2,0.00512,52,0.13299,2,0.00512,3,0.00767,15,0.03836,272,0.69565,45,0.11509,15777 SW Boones Ferry Rd Lake Oswego OR 97035,-122.733987,45.4020717,Clackamas,1923,Lake Oswego SD 7J,Lake Grove Elementary School,School,Total Population,Total Population,3.4,3.7,3.5,47,12.3,23,21.4,47,17.7,47,11.8,47
56,River Grove Elementary School,Clackamas,5850 SW McEwan Rd,Lake Oswego,OR,97035,7999,1923,Lake Oswego SD 7J,River Grove Elementary School,556,557,,0,66,0.11849,2,0.00359,7,0.01257,53,0.09515,369,0.66248,60,0.10772,5850 SW McEwan Rd Lake Oswego OR 97035,-122.7364627,45.3890629,Clackamas,1923,Lake Oswego SD 7J,River Grove Elementary School,School,Total Population,Total Population,3.7,4.1,3.8,94,13.6,94,21.2,94,18.7,94,13,94
58,Westridge Elementary School,Clackamas,3400 Royce Way,Lake Oswego,OR,97034,7399,1923,Lake Oswego SD 7J,Westridge Elementary School,458,456,,0,25,0.05482,,0,4,0.00877,20,0.04386,375,0.82237,32,0.07018,3400 Royce Way Lake Oswego OR 97034,-122.7119791,45.3951247,Clackamas,1923,Lake Oswego SD 7J,Westridge Elementary School,School,Total Population,Total Population,3.5,3.8,3.6,70,13.8,70,21.5,70,18.5,70,12.4,70
59,Lake Oswego Middle School,Clackamas,2500 SW Country Club Rd,Lake Oswego,OR,97034,2099,1923,Lake Oswego SD 7J,Lake Oswego Middle School,884,860,2,0.00233,104,0.12093,2,0.00233,3,0.00349,63,0.07326,631,0.73372,55,0.06395,2500 SW Country Club Rd Lake Oswego OR 97034,-122.7029749,45.423604,,,,,,,,,,,,,,,,,,,
60,Lakeridge Middle School,Clackamas,4700 SW Jean Rd,Lake Oswego,OR,97035,7199,1923,Lake Oswego SD 7J,Lakeridge Middle School,867,847,2,0.00236,48,0.05667,2,0.00236,3,0.00354,55,0.06494,660,0.77922,77,0.09091,4700 SW Jean Rd Lake Oswego OR 97035,-122.726563,45.3964204,,,,,,,,,,,,,,,,,,,
61,Lake Oswego Senior High School,Clackamas,2501 SW Country Club Rd,Lake Oswego,OR,97034,0,1923,Lake Oswego SD 7J,Lake Oswego Senior High School,1273,1277,1,7.8e-4,156,0.12216,2,0.00157,10,0.00783,90,0.07048,922,0.722,96,0.07518,2501 SW Country Club Rd Lake Oswego OR 97034,-122.701665,45.425416,,,,,,,,,,,,,,,,,,,
62,Lakeridge High School,Clackamas,1235 SW Overlook Dr,Lake Oswego,OR,97034,0,1923,Lake Oswego SD 7J,Lakeridge High School,1111,1157,3,0.00259,82,0.07087,1,8.6e-4,8,0.00691,75,0.06482,889,0.76837,99,0.08557,1235 SW Overlook Dr Lake Oswego OR 97034,-122.6935746,45.3974213,,,,,,,,,,,,,,,,,,,
65,Bilquist Elementary School,Clackamas,15708 SE Webster Rd,Milwaukie,OR,97267,4299,1924,North Clackamas SD 12,Bilquist Elementary School,436,431,,0,20,0.0464,,0,14,0.03248,91,0.21114,271,0.62877,35,0.08121,15708 SE Webster Rd Milwaukie OR 97267,-122.5886912,45.4094977,Clackamas,1924,North Clackamas SD 12,Bilquist Elementary School,School,Total Population,Total Population,2.8,2.9,2.8,76,11.6,76,13.2,73,10.8,73,6.4,73
72,Whitcomb Elementary School,Clackamas,7400 SE Thompson Rd,Milwaukie,OR,97222,1967,1924,North Clackamas SD 12,Whitcomb Elementary School,422,401,2,0.00499,10,0.02494,2,0.00499,9,0.02244,178,0.44389,176,0.4389,24,0.05985,7400 SE Thompson Rd Milwaukie OR 97222,-122.5871259,45.4424998,Clackamas,1924,North Clackamas SD 12,Whitcomb Elementary School,School,Total Population,Total Population,3.4,3.7,3.5,76,10.6,48,11.7,49,9.5,48,4.8,48
73,Milwaukie Elementary School,Clackamas,11250 SE 27th Ave,Milwaukie,OR,97222,7797,1924,North Clackamas SD 12,Milwaukie Elementary School,148,170,2,0.01176,7,0.04118,1,0.00588,5,0.02941,22,0.12941,116,0.68235,17,0.1,11250 SE 27th Ave Milwaukie OR 97222,-122.6341127,45.4417006,Clackamas,1924,North Clackamas SD 12,Milwaukie Elementary School,School,Total Population,Total Population,3.1,3.4,3.2,33,11.8,35,17.5,35,14.4,35,9.3,35
76,Riverside Elementary School,Clackamas,16303 SE River Rd,Milwaukie,OR,97267,4599,1924,North Clackamas SD 12,Riverside Elementary School,426,419,1,0.00239,2,0.00477,2,0.00477,2,0.00477,127,0.3031,265,0.63246,20,0.04773,16303 SE River Rd Milwaukie OR 97267,-122.6392311,45.4043521,Clackamas,1924,North Clackamas SD 12,Riverside Elementary School,School,Total Population,Total Population,3.3,3.7,3.4,72,10.5,68,13,66,9.9,66,5.8,66
78,Sunnyside Elementary School,Clackamas,13401 SE 132nd Ave,Clackamas,OR,97015,9340,1924,North Clackamas SD 12,Sunnyside Elementary School,551,548,1,0.00182,70,0.12774,7,0.01277,13,0.02372,85,0.15511,314,0.57299,58,0.10584,13401 SE 132nd Ave Clackamas OR 97015,-122.5287364,45.425645,Clackamas,1924,North Clackamas SD 12,Sunnyside Elementary School,School,Total Population,Total Population,4,4.1,4,74,9.6,76,14.8,73,11.5,73,6.2,72
