tract_id,county,Diversity Index,Median Household Income,Population Under 18
41067031613,Washington,72.6,42604,26
41005022500,Clackamas,30.6,49583,23.4
41005022901,Clackamas,26.7,73750,27.1
41005022702,Clackamas,24.1,124271,25.1
41005023202,Clackamas,29.3,90789,25.9
41005021700,Clackamas,34.1,52875,19.9
41005021900,Clackamas,39.4,40649,25.9
41005022000,Clackamas,28.7,81417,22
41005021400,Clackamas,32.1,56570,18.6
41067031706,Washington,76.6,37319,26.8
41067031703,Washington,64.6,57589,26.8
41067031704,Washington,58.3,73345,26.7
41067031804,Washington,58.1,71667,27.7
41067030200,Washington,30.1,98438,20.5
41067030900,Washington,73,45931,26.7
41005021300,Clackamas,35,60534,21.9
41005023100,Clackamas,17.8,100729,19.9
41005023300,Clackamas,23.1,83306,20.7
41005023401,Clackamas,36.3,67054,18.8
41005022800,Clackamas,16.3,83707,9.6
41005023800,Clackamas,32.5,72332,22
41005980000,Clackamas,59.6,0,16.8
41005020505,Clackamas,16,130341,20.3
41005020403,Clackamas,17.6,193500,24.9
41005022107,Clackamas,49.1,35682,22.9
41005022105,Clackamas,45,70313,24
41005022108,Clackamas,52.6,19803,21.2
41067031003,Washington,46.8,100938,21.8
41067031004,Washington,42.3,75241,21.4
41067031005,Washington,74.8,37175,25.2
41067031006,Washington,62.9,34241,22.6
41067031100,Washington,75.6,40563,22.4
41005022206,Clackamas,48.7,99659,23.3
41005022205,Clackamas,44.8,93833,24.4
41005022208,Clackamas,44.5,96740,31.7
41005022207,Clackamas,42,117963,28.6
41005022301,Clackamas,21.7,75929,24.6
41005022708,Clackamas,50.5,87353,29.1
41005022302,Clackamas,25.6,70273,23
41005022606,Clackamas,23.5,75000,25.9
41067031200,Washington,77.5,30806,23.9
41067031507,Washington,46.7,115685,26.3
