OBJECTID,GEOID10,County,TOTPOP_CY,POP18UNDER_CY,POP18UNDER_PCT,x,y
728,41047010304,Marion,6507,2413,37.1,,
729,41047010502,Marion,5877,1716,29.2,,
730,41047010100,Marion,1455,404,27.8,,
731,41047001503,Marion,5545,1711,30.9,,
732,41047001701,Marion,6345,1903,30,,
733,41047000200,Marion,3356,277,8.3,,
734,41047000600,Marion,5036,1086,21.6,,
735,41047001100,Marion,4904,1069,21.8,,
736,41047000300,Marion,5065,1361,26.9,,
737,41047002700,Marion,8666,1707,19.7,,
738,41047001802,Marion,7669,2504,32.7,,
739,41047010503,Marion,3888,1005,25.8,,
740,41047002000,Marion,9243,2339,25.3,,
741,41047001803,Marion,5328,642,12,,
742,41047010701,Marion,7944,2155,27.1,,
743,41047002400,Marion,3576,755,21.1,,
744,41047001502,Marion,5317,1655,31.1,,
745,41047000400,Marion,4994,1527,30.6,,
746,41047001602,Marion,9254,2924,31.6,,
747,41047001604,Marion,8436,2421,28.7,,
748,41047010600,Marion,2507,502,20,,
749,41047002600,Marion,2077,547,26.3,,
750,41047010305,Marion,4799,1553,32.4,,
751,41047000502,Marion,5288,1751,33.1,,
752,41047001401,Marion,5740,1330,23.2,,
753,41047002502,Marion,5123,1224,23.9,,
754,41047000501,Marion,3780,1258,33.3,,
755,41047002102,Marion,6172,1435,23.3,,
756,41047002303,Marion,7250,1852,25.5,,
757,41047002202,Marion,6275,1541,24.6,,
758,41047002101,Marion,2294,430,18.7,,
759,41047002501,Marion,9063,2431,26.8,,
760,41047002304,Marion,5180,1121,21.6,,
761,41047010202,Marion,7498,2117,28.2,,
762,41047010307,Marion,5910,1074,18.2,,
763,41047010201,Marion,2671,597,22.4,,
764,41047002201,Marion,2036,461,22.6,,
765,41069960100,Wheeler,1491,261,17.5,,
766,41047010306,Marion,9009,2909,32.3,,
767,41047001402,Marion,5737,1408,24.5,,
768,41047000701,Marion,8256,1600,19.4,,
770,41035970100,Klamath,3117,417,13.4,,
789,41017001200,Deschutes,7071,1575,22.3,,
790,41017001300,Deschutes,11199,2572,23,,
791,41017001400,Deschutes,5562,1193,21.4,,
792,41017001500,Deschutes,5734,1128,19.7,,
793,41017001700,Deschutes,7879,1945,24.7,,
794,41017002000,Deschutes,7009,1640,23.4,,
795,41017002100,Deschutes,11186,2947,26.3,,
796,41017001600,Deschutes,5260,1019,19.4,,
797,41017001100,Deschutes,10460,2525,24.1,,
798,41017000700,Deschutes,7751,1898,24.5,,
799,41017000800,Deschutes,6472,1706,26.4,,
800,41017000900,Deschutes,7156,1839,25.7,,
801,41017001800,Deschutes,7730,1556,20.1,,
802,41017000100,Deschutes,1908,330,17.3,,
803,41017000200,Deschutes,4691,783,16.7,,
804,41017000300,Deschutes,8131,1545,19,,
805,41017000500,Deschutes,6054,1276,21.1,,
806,41017000600,Deschutes,6633,1025,15.5,,
807,41017000402,Deschutes,2819,378,13.4,,
808,41017001902,Deschutes,8450,2071,24.5,,
